"ABC Analysis","Análise ABC"
"Inventory Dimension","Dimensão de inventário"
"Is Fixed Asset","É ativo imobilizado"
"Is Group","É grupo"
"Is Internal Customer","É cliente interno"
"Is Internal Supplier","É fornecedor interno"
"Is Opening","É abertura"
"Is Purchase Item","É item de compra"
"Is Return","É devolução"
"Is Sales Item","É item de venda"
"Is Stock Item","É item de estoque"
"Is Sub Contracted Item","É item subcontratado"
"Item","Item"
"Item Alternative","Item alternativo"
"Item Attribute","Atributo do item"
"Item Code","Código do item"
"Item Group","Grupo de itens"
"Item Groups","Grupos de itens"
"Item Manufacturer","Fabricante do item"
"Item Name","Nome do item"
"Item Naming By","Nomeação de item por"
"Item Price","Preço do item"
"Item Price Stock","Preço de item (estoque)"
"Item Prices","Preços de itens"
"Item Shortage Report","Itens em falta"
"Item Variant","Variante de item"
"Item Variant Details","Detalhes da variante do item"
"Item Variant Settings","Configurações de variantes"
"Items","Itens"
"Items Catalogue","Catálogo de itens"
"Items to Manufacture","Itens a fabricar"
"Itemwise Recommended Reorder Level","Nível de reposição recomendado por item"
"Job Card","Cartão de trabalho"
"Journal Entry","Lançamento contábil"
"Kanban","Kanban"
"Key Reports","Relatórios principais"
"Landed Cost Voucher","Custo de desembaraço"
"Landed Cost Vouchers","Custos de desembaraço"
"Last Updated On","Última atualização em"
"Lead Time Days","Prazo de entrega (dias)"
"Letter Head","Timbre"
"LIFO","UEPS (LIFO)"
"List","Lista"
"List View","Visão em lista"
"Loading...","Carregando..."
"Loyalty Points","Pontos de fidelidade"
"Loyalty Program","Programa de fidelidade"
"LR Date","Data do CTRC/romaneio"
"LR No","Nº do CTRC/romaneio"
"Maintain Stock","Controlar estoque"
"Manufacture","Fabricação"
"Manufacturer","Fabricante"
"Manufacturer Part Number","Código do fabricante"
"Manufacturing","Manufatura"
"Masters","Cadastros"
"Material Issue","Saída de material"
"Material Receipt","Entrada de material"
"Material Request","Requisição de material"
"Material Requests","Requisições de material"
"Material Transfer","Transferência de material"
"Material Transfer for Manufacture","Transferência para fabricação"
"Max Order Qty","Qtd. máxima de pedido"
"Menu","Menu"
"Min Order Qty","Qtd. mínima de pedido"
"Modified By","Modificado por"
"Moving Average","Média móvel"
"My Workspaces","Meus workspaces"
"Name","Nome"
"Named Place","Local nomeado"
"Negative Batch Report","Lotes com saldo negativo"
"Net Total","Total líquido"
"New","Novo"
"Next","Próximo"
"No","Não"
"No Data","Sem dados"
"No results found","Nenhum resultado encontrado"
"Not Saved","Não salvo"
"Not Submitted","Não enviado"
"Open","Aberto"
"Opening Stock","Estoque inicial"
"Operation","Operação"
"Opportunity","Oportunidade"
"Out Qty","Qtd. saída"
"Outgoing Rate","Taxa de saída"
"Over Billing Allowance","Tolerância de faturamento"
"Over Delivery Receipt Allowance","Tolerância de entrega/recebimento"
"Over Delivery/Receipt Allowance (%)","Tolerância de entrega/recebimento (%)"
"Overdue","Atrasado"
"Packing Slip","Romaneio de embalagem"
"Parent Warehouse","Armazém pai"
"Payment Entry","Lançamento de pagamento"
"Payment Terms","Condições de pagamento"
"Pending","Pendente"
"Per Billed","% faturado"
"Per Delivered","% entregue"
"Pick List","Lista de separação"
"Pick List Item","Item da lista de separação"
"Pick Lists","Listas de separação"
"Please wait...","Aguarde..."
"Posting Date","Data de lançamento"
"Previous","Anterior"
"Price","Preço"
"Price List","Lista de preços"
"Price Lists","Listas de preços"
"Pricing Rule","Regra de preço"
"Print","Imprimir"
"Print Heading","Título de impressão"
"Private","Privado"
"Product Bundle","Kit de produtos"
"Production Plan","Plano de produção"
"Project","Projeto"
"Projected Qty","Qtd. projetada"
"Projects","Projetos"
"Public","Público"
"Purchase Invoice","Nota fiscal de compra"
"Purchase Order","Pedido de compra"
"Purchase Order Analysis","Análise de pedidos de compra"
"Purchase Receipt","Recebimento de compra"
"Purchase Receipt Trends","Tendência de recebimentos"
"Purchase Receipts","Recebimentos de compra"
"Purpose","Finalidade"
"Putaway Rule","Regra de armazenamento"
"Qty","Qtd."
"Qty as per Stock UOM","Qtd. na UDM de estoque"
"Quality Inspection","Inspeção de qualidade"
"Quality Inspection Parameter","Parâmetro de inspeção de qualidade"
"Quality Inspection Parameter Group","Grupo de parâmetros de inspeção"
"Quality Inspection Template","Modelo de inspeção de qualidade"
"Quality Inspections","Inspeções de qualidade"
"Quantity","Quantidade"
"Query Report","Relatório por consulta"
"Quick Access","Acesso rápido"
"Quick Stock Balance","Consulta rápida de estoque"
"Quotation","Cotação"
"Rate","Taxa"
"Raw Material","Matéria-prima"
"Refresh","Atualizar"
"Rejected Quantity","Quantidade rejeitada"
"Rejected Warehouse","Armazém de rejeitados"
"Rename","Renomear"
"Reorder","Reposição"
"Reorder Level","Nível de reposição"
"Reorder Qty","Qtd. de reposição"
"Repack","Reembalagem"
"Report","Relatório"
"Report Builder","Construtor de relatório"
"Reports","Relatórios"
"Repost Item Valuation","Recalcular valoração do item"
"Represents Company","Representa a empresa"
"Request for Quotation","Solicitação de cotação"
"Requested Items To Be Transferred","Itens solicitados a transferir"
"Required By","Necessário até"
"Reserved Qty","Qtd. reservada"
"Reserved Qty for Production","Qtd. reservada p/ produção"
"Reserved Qty for Sub Contracting","Qtd. reservada p/ subcontratação"
"Reserved Stock","Estoque reservado"
"Return Against","Devolução de"
"Role Allowed to Edit Frozen Stock","Função permitida a editar estoque congelado"
"Routing","Roteiro de produção"
"Safety Stock","Estoque de segurança"
"Sales Invoice","Nota fiscal de venda"
"Sales Order","Pedido de venda"
"Sales Order Analysis","Análise de pedidos de venda"
"Sales Partner","Parceiro de vendas"
"Sales Person","Vendedor"
"Sales Team","Equipe de vendas"
"Sample Retention Warehouse","Armazém de retenção de amostras"
"Sample Size","Tamanho da amostra"
"Save","Salvar"
"Scan Barcode","Ler código de barras"
"Schedule Date","Data programada"
"Script Report","Relatório por script"
"Search","Pesquisar"
"Search or type a command ({0})","Pesquisar ou digitar um comando ({0})"
"Select","Selecionar"
"Select All","Selecionar tudo"
"Select Print Heading","Selecionar título de impressão"
"Selling","Vendas"
"Send to Subcontractor","Enviar ao subcontratado"
"Serial and Batch Bundle","Pacote de série e lote"
"Serial and Batch Entry","Lançamento de série e lote"
"Serial and Batch Summary","Resumo de série e lote"
"Serial No","Nº de série"
"Serial No and Batch","Nº de série e lote"
"Serial No Ledger","Razão de nº de série"
"Serial No Service Contract Expiry","Vencimento do contrato de serviço (série)"
"Serial No Status","Status do nº de série"
"Serial No Warranty Expiry","Vencimento de garantia (série)"
"Serial Nos","Números de série"
"Set Source Warehouse","Definir armazém de origem"
"Set Target Warehouse","Definir armazém de destino"
"Settings","Configurações"
"Share","Compartilhar"
"Shelf Life In Days","Validade em dias"
"Shipment","Embarque"
"Shipment Delivery Note","Nota de entrega do embarque"
"Shipment Parcel","Volume do embarque"
"Shipment Parcel Template","Modelo de volume"
"Shipping Address","Endereço de entrega"
"Shipping Rule","Regra de frete"
"Show Barcode Field","Exibir campo de código de barras"
"Sort By","Ordenar por"
"Source","Origem"
"Source Warehouse","Armazém de origem"
"Status","Status"
"Stock","Estoque"
"Stock Ageing","Envelhecimento de estoque"
"Stock Analytics","Analíticos de estoque"
"Stock Balance","Saldo de estoque"
"Stock Closing Entry","Lançamento de fechamento de estoque"
"Stock Entries","Movimentos de estoque"
"Stock Entry","Movimento de estoque"
"Stock Entry Detail","Item do movimento de estoque"
"Stock Entry Type","Tipo de movimento de estoque"
"Stock Frozen Upto","Estoque congelado até"
"Stock Frozen Upto Days","Dias de congelamento de estoque"
"Stock Ledger","Razão de estoque"
"Stock Ledger Entry","Lançamento do razão de estoque"
"Stock Ledger Invariant Check","Verificação do razão de estoque"
"Stock Ledger Variance","Variação do razão de estoque"
"Stock Level","Nível de estoque"
"Stock Projected Qty","Estoque projetado"
"Stock Qty vs Batch Qty","Qtd. de estoque vs qtd. de lote"
"Stock Queue","Fila de estoque"
"Stock Reconciliation","Ajuste de estoque"
"Stock Reconciliations","Ajustes de estoque"
"Stock Reposting Settings","Configurações de reprocessamento de estoque"
"Stock Reservation Entry","Reserva de estoque"
"Stock Settings","Configurações de estoque"
"Stock UOM","UDM de estoque"
"Stock Updates","Atualizações de estoque"
"Stock Value","Valor do estoque"
"Subcontracted Item To Be Received","Itens subcontratados a receber"
"Subcontracted Raw Materials To Be Transferred","MPs subcontratadas a transferir"
"Subcontracting","Subcontratação"
"Submit","Enviar"
"Submitted","Enviado"
"Supplier","Fornecedor"
"Supplier Quotation","Cotação do fornecedor"
"Support","Suporte"
"Tags","Marcadores"
"Target Warehouse","Armazém de destino"
"Tax","Imposto"
"Taxes","Impostos"
"Terms and Conditions","Termos e condições"
"Territory","Território"
"Timeline","Linha do tempo"
"To Bill","A faturar"
"To Date","Data final"
"To Deliver","A entregar"
"To Receive","A receber"
"To Warehouse","Para o armazém"
"Tools","Ferramentas"
"Total","Total"
"Total Active Items","Total de itens ativos"
"Total Stock Value","Valor total do estoque"
"Total Warehouses","Total de armazéns"
"Transaction Date","Data da transação"
"Transactions","Transações"
"Transfer","Transferência"
"Transporter","Transportadora"
"Tree","Árvore"
"Type","Tipo"
"Unfollow","Deixar de seguir"
"Unit of Measure (UOM)","Unidade de medida (UDM)"
"UOM","UDM"
"UOM Conversion Factor","Fator de conversão de UDM"
"Update","Atualizar"
"Use Serial / Batch Fields","Usar campos de série/lote"
"Users","Usuários"
"Valuation Method","Método de valoração"
"Valuation Rate","Taxa de valoração"
"Value","Valor"
"Vehicle No","Placa do veículo"
"View","Visualizar"
"Voucher No","Nº do documento"
"Voucher Type","Tipo de documento"
"Warehouse","Armazém"
"Warehouse Type","Tipo de armazém"
"Warehouse Wise Stock Balance","Saldo de estoque por armazém"
"Warehouse wise Stock Value","Valor do estoque por armazém"
"Warehouse Wise Stock Value","Valor do estoque por armazém"
"Warehouses","Armazéns"
"Warranty","Garantia"
"Website","Site"
"Weight Per Unit","Peso por unidade"
"Weight UOM","UDM de peso"
"Welcome Workspace","Workspace de boas-vindas"
"Work In Progress","Em processo (WIP)"
"Work Order","Ordem de produção"
"Workstation","Posto de trabalho"
"Yes","Sim"
"Your Shortcuts","Seus atalhos"
"{} Accepted","{} Aceitas"
"{} Active","{} Ativos"
"{} Available","{} Disponíveis"
"{} Cancelled","{} Cancelados"
"{} Closed","{} Fechados"
"{} Draft","{} Rascunho"
"{} Inactive","{} Inativos"
"{} Open","{} Em aberto"
"{} Open Orders","{} Pedidos abertos"
"{} Overdue","{} Atrasados"
"{} Pending","{} Pendentes"
"{} Submitted","{} Enviados"
"{} To Bill","{} A faturar"
"{} To Deliver","{} A entregar"
"{} To Receive","{} A receber"
"To Receive and Bill","A receber e faturar"
"Partial","Parcial"
"{}  To Receive","{} A receber"
"{}  To Bill","{} A faturar"
"{}  To Deliver","{} A entregar"
"{}  Pending","{} Pendentes"
"{}  Available","{} Disponíveis"
"{}  Open","{} Em aberto"
"{} Ordered","{} Pedidos"
"{} Received","{} Recebidos"
"{} Partially Received","{} Parcialmente recebidos"
"{} Partially Ordered","{} Parcialmente pedidos"
"{} Paid","{} Pagos"
"{} Unpaid","{} Não pagos"
"{} Stopped","{} Parados"
"{} Completed","{} Concluídos"
"Available","Disponível"
"Financial Reports","Relatórios financeiros"
"Learn Accounting","Aprenda contabilidade"
"Tax Masters","Cadastros de impostos"
"Bank Reconciliation Tool","Ferramenta de conciliação bancária"
"Dunning","Cobrança"
"Ledgers","Razões"
"Total Outgoing Bills","Total de faturas a pagar"
"Total Incoming Bills","Total de faturas a receber"
"Total Incoming Payment","Total de recebimentos"
"Total Outgoing Payment","Total de pagamentos"
"Profit and Loss","Resultado (DRE)"
"Reports & Masters","Relatórios e cadastros"
"Payables","Contas a pagar"
"Receivables","Contas a receber"
"Permission Manager","Gerenciador de permissões"
"CRM Settings","Configurações do CRM"
"Tax Setup","Configuração de impostos"
"Benefits","Benefícios"
"Outgoing Salary","Salários a pagar"
"Opportunity Summary by Sales Stage","Resumo de oportunidades por estágio"
"Sales Pipeline Analytics","Análise do pipeline de vendas"
"Learn Sales Management","Aprenda gestão de vendas"
"{} Assigned","{} Atribuídos"
"Print Format Builder (New)","Construtor de impressão (novo)"
"Documents","Documentos"
"Get started","Comece por aqui"
"Components to build your app","Componentes para montar seu app"
"Masters & Reports","Cadastros e relatórios"
"Quick Links","Links rápidos"
